YEAR_,MONTH_,TEMP_mean,TEMP_median,MIN_mean,MAX_mean,PRCP_mean,PRCP_median,PRCP_min,PRCP_max
1951,12,35.87556494580195,37.0,28.089361017961323,45.274655013799446,0.009606081548030408,0.0,0.0,2.17
1952,1,35.87249726974882,36.4,28.12325094451272,45.4029213380731,0.008559935639581658,0.0,0.0,2.13
1952,2,38.586278241350705,38.6,30.624364417118038,48.33642400273424,0.007761431079160745,0.0,0.0,2.28
1952,3,41.564627151051624,41.3,33.320864062642265,51.56744715743441,0.011454151744815524,0.0,0.0,2.13
1952,4,53.199844544940646,54.5,43.1762710267163,64.68161591401905,0.0081640625,0.0,0.0,2.6
1952,5,61.822075075349346,62.3,51.552790464011686,73.12782243332116,0.009907488344988344,0.0,0.0,3.07
1952,6,71.67224524796342,73.6,61.337519069412664,83.01149704593101,0.007741594417424402,0.0,0.0,3.46
1952,7,74.84000827472073,76.9,64.33838797186078,86.42806436781609,0.008997497219132369,0.0,0.0,5.87
1952,8,73.08606171428572,74.2,63.13488063660478,84.43134144111193,0.010031851744606921,0.0,0.0,3.11
1952,9,66.80597736770437,68.1,56.03267894044712,79.02567510449444,0.006366518706404566,0.0,0.0,4.33
1952,10,54.687751104632625,54.8,43.338007565054916,67.94332268370607,0.0033970382788488405,0.0,0.0,6.38
1952,11,44.42471566876586,44.7,35.952427732079904,54.53192870244086,0.006479664391353811,0.0,0.0,3.39
1952,12,37.17598141907278,37.4,30.22864040081986,45.63553500660502,0.00844028799499139,0.0,0.0,3.15
1953,1,38.65508616400561,40.1,30.7686527325371,48.46657758854969,0.009489153254023793,0.0,0.0,1.81
1953,2,39.09590159827646,39.9,30.559255175179185,49.61445330124831,0.008207259158751696,0.0,0.0,2.24
1953,3,45.87192879144772,46.7,36.996652473274146,56.63122989807474,0.010739229380836537,0.0,0.0,2.2
1953,4,51.84984334814121,51.6,42.52912339788568,62.80767178431006,0.010411976047904191,0.0,0.0,3.39
1953,5,62.062950435214,62.0,52.45032252244125,72.93858644174823,0.00937278192221337,0.0,0.0,2.05
1953,6,71.36413391009968,73.3,60.9340813926135,82.65573685695476,0.00724739402362752,0.0,0.0,2.99
1953,7,74.73576692139738,76.2,64.42898379165908,85.98993175614194,0.008730909582375997,0.0,0.0,3.54
1953,8,72.70920460230114,74.1,62.48347062303736,84.05282881571767,0.008993515452538632,0.0,0.0,3.98
